,W,L,W/L%,GB,PS/G,PA/G,SRS,Year,Team
611,27,55,0.329,31.0,94.1,97.9,-3.12,2013,New Orleans Hornets
612,48,34,0.585,—,101.3,98.0,2.55,2014,Toronto Raptors
613,44,38,0.537,4.0,98.5,99.5,-1.58,2014,Brooklyn Nets
614,37,45,0.451,11.0,98.6,99.4,-1.4,2014,New York Knicks
615,25,57,0.305,23.0,96.2,100.7,-4.97,2014,Boston Celtics
616,19,63,0.232,29.0,99.5,109.9,-10.66,2014,Philadelphia 76ers
617,56,26,0.683,—,96.7,92.3,3.63,2014,Indiana Pacers
618,48,34,0.585,8.0,93.7,91.8,1.2,2014,Chicago Bulls
619,33,49,0.402,23.0,98.2,101.5,-3.86,2014,Cleveland Cavaliers
620,29,53,0.354,27.0,101.0,104.7,-4.13,2014,Detroit Pistons
621,15,67,0.183,41.0,95.5,103.7,-8.41,2014,Milwaukee Bucks
622,54,28,0.659,—,102.2,97.4,4.15,2014,Miami Heat
623,44,38,0.537,10.0,100.7,99.4,0.48,2014,Washington Wizards
624,43,39,0.524,11.0,96.9,97.1,-0.89,2014,Charlotte Bobcats
625,38,44,0.463,16.0,101.0,101.5,-0.88,2014,Atlanta Hawks
626,23,59,0.28,31.0,96.5,102.0,-5.88,2014,Orlando Magic
627,59,23,0.72,—,106.2,99.8,6.66,2014,Oklahoma City Thunder
628,54,28,0.659,5.0,106.7,102.8,4.44,2014,Portland Trail Blazers
629,40,42,0.488,19.0,106.9,104.3,3.1,2014,Minnesota Timberwolves
630,36,46,0.439,23.0,104.4,106.5,-1.4,2014,Denver Nuggets
631,25,57,0.305,34.0,95.0,102.2,-6.27,2014,Utah Jazz
632,57,25,0.695,—,107.9,101.0,7.27,2014,Los Angeles Clippers
633,51,31,0.622,6.0,104.3,99.5,5.15,2014,Golden State Warriors
634,48,34,0.585,9.0,105.2,102.6,3.02,2014,Phoenix Suns
635,28,54,0.341,29.0,100.5,103.4,-2.08,2014,Sacramento Kings
636,27,55,0.329,30.0,103.0,109.2,-5.33,2014,Los Angeles Lakers
637,62,20,0.756,—,105.4,97.6,8.0,2014,San Antonio Spurs
638,54,28,0.659,8.0,107.7,103.1,5.06,2014,Houston Rockets
639,50,32,0.61,12.0,96.1,94.6,2.18,2014,Memphis Grizzlies
640,49,33,0.598,13.0,104.8,102.4,2.91,2014,Dallas Mavericks
641,34,48,0.415,28.0,99.7,102.4,-1.98,2014,New Orleans Pelicans
642,49,33,0.598,—,104.0,100.9,2.45,2015,Toronto Raptors
643,40,42,0.488,9.0,101.4,101.2,-0.4,2015,Boston Celtics
644,38,44,0.463,11.0,98.0,100.9,-3.13,2015,Brooklyn Nets
645,18,64,0.22,31.0,92.0,101.0,-9.04,2015,Philadelphia 76ers
646,17,65,0.207,32.0,91.9,101.2,-9.5,2015,New York Knicks
647,53,29,0.646,—,103.1,98.7,4.08,2015,Cleveland Cavaliers
648,50,32,0.61,3.0,100.8,97.8,2.54,2015,Chicago Bulls
649,41,41,0.5,12.0,97.8,97.4,-0.09,2015,Milwaukee Bucks
650,38,44,0.463,15.0,97.3,97.0,-0.23,2015,Indiana Pacers
651,32,50,0.39,21.0,98.5,99.5,-1.39,2015,Detroit Pistons
652,60,22,0.732,—,102.5,97.1,4.75,2015,Atlanta Hawks
653,46,36,0.561,14.0,98.5,97.8,0.17,2015,Washington Wizards
654,37,45,0.451,23.0,94.7,97.3,-2.92,2015,Miami Heat
655,33,49,0.402,27.0,94.2,97.3,-3.44,2015,Charlotte Hornets
656,25,57,0.305,35.0,95.7,101.4,-5.87,2015,Orlando Magic
657,51,31,0.622,—,102.8,98.6,4.41,2015,Portland Trail Blazers
658,45,37,0.549,6.0,104.0,101.8,2.47,2015,Oklahoma City Thunder
659,38,44,0.463,13.0,95.1,94.9,0.71,2015,Utah Jazz
660,30,52,0.366,21.0,101.5,105.0,-3.07,2015,Denver Nuggets
661,16,66,0.195,35.0,97.8,106.5,-8.0,2015,Minnesota Timberwolves
662,67,15,0.817,—,110.0,99.9,10.01,2015,Golden State Warriors
663,56,26,0.683,11.0,106.7,100.1,6.8,2015,Los Angeles Clippers
664,39,43,0.476,28.0,102.4,103.3,-0.38,2015,Phoenix Suns
665,29,53,0.354,38.0,101.3,105.0,-3.07,2015,Sacramento Kings
666,21,61,0.256,46.0,98.5,105.3,-6.17,2015,Los Angeles Lakers
667,56,26,0.683,—,103.9,100.5,3.82,2015,Houston Rockets
668,55,27,0.671,1.0,98.3,95.1,3.62,2015,Memphis Grizzlies
669,55,27,0.671,1.0,103.2,97.0,6.34,2015,San Antonio Spurs
670,50,32,0.61,6.0,105.2,102.3,3.36,2015,Dallas Mavericks
671,45,37,0.549,11.0,99.4,98.6,1.13,2015,New Orleans Pelicans
672,56,26,0.683,—,102.7,98.2,4.08,2016,Toronto Raptors
673,48,34,0.585,8.0,105.7,102.5,2.84,2016,Boston Celtics
674,32,50,0.39,24.0,98.4,101.1,-2.74,2016,New York Knicks
675,21,61,0.256,35.0,98.6,106.0,-7.12,2016,Brooklyn Nets
676,10,72,0.122,46.0,97.4,107.6,-9.92,2016,Philadelphia 76ers
677,57,25,0.695,—,104.3,98.3,5.45,2016,Cleveland Cavaliers
678,45,37,0.549,12.0,102.2,100.5,1.62,2016,Indiana Pacers
679,44,38,0.537,13.0,102.0,101.4,0.43,2016,Detroit Pistons
680,42,40,0.512,15.0,101.6,103.1,-1.46,2016,Chicago Bulls
681,33,49,0.402,24.0,99.0,103.2,-3.98,2016,Milwaukee Bucks
682,48,34,0.585,—,100.0,98.4,1.5,2016,Miami Heat
683,48,34,0.585,—,102.8,99.2,3.49,2016,Atlanta Hawks
684,48,34,0.585,—,103.4,100.7,2.36,2016,Charlotte Hornets
685,41,41,0.5,7.0,104.1,104.6,-0.5,2016,Washington Wizards
686,35,47,0.427,13.0,102.1,103.7,-1.68,2016,Orlando Magic
687,55,27,0.671,—,110.2,102.9,7.09,2016,Oklahoma City Thunder
688,44,38,0.537,11.0,105.1,104.3,0.98,2016,Portland Trail Blazers
689,40,42,0.488,15.0,97.7,95.9,1.84,2016,Utah Jazz
690,33,49,0.402,22.0,101.9,105.0,-2.81,2016,Denver Nuggets
691,29,53,0.354,26.0,102.4,106.0,-3.38,2016,Minnesota Timberwolves
692,73,9,0.89,—,114.9,104.1,10.38,2016,Golden State Warriors
693,53,29,0.646,20.0,104.5,100.2,4.13,2016,Los Angeles Clippers
694,33,49,0.402,40.0,106.6,109.1,-2.32,2016,Sacramento Kings
695,23,59,0.28,50.0,100.9,107.5,-6.32,2016,Phoenix Suns
696,17,65,0.207,56.0,97.3,106.9,-8.92,2016,Los Angeles Lakers
697,67,15,0.817,—,103.5,92.9,10.28,2016,San Antonio Spurs
698,42,40,0.512,25.0,102.3,102.6,-0.02,2016,Dallas Mavericks
699,42,40,0.512,25.0,99.1,101.3,-2.14,2016,Memphis Grizzlies
700,41,41,0.5,26.0,106.5,106.4,0.34,2016,Houston Rockets
701,30,52,0.366,37.0,102.7,106.5,-3.56,2016,New Orleans Pelicans
702,53,29,0.646,—,108.0,105.4,2.25,2017,Boston Celtics
703,51,31,0.622,2.0,106.9,102.6,3.65,2017,Toronto Raptors
704,31,51,0.378,22.0,104.3,108.0,-3.87,2017,New York Knicks
705,28,54,0.341,25.0,102.4,108.1,-5.83,2017,Philadelphia 76ers
706,20,62,0.244,33.0,105.8,112.5,-6.74,2017,Brooklyn Nets
707,51,31,0.622,—,110.3,107.2,2.87,2017,Cleveland Cavaliers
708,42,40,0.512,9.0,103.6,103.8,-0.45,2017,Milwaukee Bucks
709,42,40,0.512,9.0,105.1,105.3,-0.64,2017,Indiana Pacers
710,41,41,0.5,10.0,102.9,102.4,0.03,2017,Chicago Bulls
711,37,45,0.451,14.0,101.3,102.5,-1.29,2017,Detroit Pistons
712,49,33,0.598,—,109.2,107.4,1.36,2017,Washington Wizards
713,43,39,0.524,6.0,103.2,104.0,-1.23,2017,Atlanta Hawks
714,41,41,0.5,8.0,103.2,102.1,0.77,2017,Miami Heat
715,36,46,0.439,13.0,104.9,104.7,-0.07,2017,Charlotte Hornets
716,29,53,0.354,20.0,101.1,107.6,-6.61,2017,Orlando Magic
717,51,31,0.622,—,100.7,96.8,4.0,2017,Utah Jazz
718,47,35,0.573,4.0,106.6,105.8,1.14,2017,Oklahoma City Thunder
719,41,41,0.5,10.0,107.9,108.5,-0.23,2017,Portland Trail Blazers
720,40,42,0.488,11.0,111.7,111.2,0.7,2017,Denver Nuggets
721,31,51,0.378,20.0,105.6,106.7,-0.64,2017,Minnesota Timberwolves
722,67,15,0.817,—,115.9,104.3,11.35,2017,Golden State Warriors
723,51,31,0.622,16.0,108.7,104.4,4.42,2017,Los Angeles Clippers
724,32,50,0.39,35.0,102.8,106.7,-3.29,2017,Sacramento Kings
725,26,56,0.317,41.0,104.6,111.5,-6.29,2017,Los Angeles Lakers
726,24,58,0.293,43.0,107.7,113.3,-5.14,2017,Phoenix Suns
727,61,21,0.744,—,105.3,98.1,7.13,2017,San Antonio Spurs
728,55,27,0.671,6.0,115.3,109.6,5.84,2017,Houston Rockets
729,43,39,0.524,18.0,100.5,100.0,0.96,2017,Memphis Grizzlies
730,34,48,0.415,27.0,104.3,106.4,-1.69,2017,New Orleans Pelicans
731,33,49,0.402,28.0,97.9,100.8,-2.53,2017,Dallas Mavericks
732,59,23,0.72,—,111.7,103.9,7.29,2018,Toronto Raptors
733,55,27,0.671,4.0,104.0,100.4,3.23,2018,Boston Celtics
734,52,30,0.634,7.0,109.8,105.3,4.3,2018,Philadelphia 76ers
735,29,53,0.354,30.0,104.5,108.0,-3.53,2018,New York Knicks
736,28,54,0.341,31.0,106.6,110.3,-3.67,2018,Brooklyn Nets
737,50,32,0.61,—,110.9,109.9,0.59,2018,Cleveland Cavaliers
738,48,34,0.585,2.0,105.6,104.2,1.18,2018,Indiana Pacers
739,44,38,0.537,6.0,106.5,106.8,-0.45,2018,Milwaukee Bucks
740,39,43,0.476,11.0,103.8,103.9,-0.26,2018,Detroit Pistons
741,27,55,0.329,23.0,102.9,110.0,-6.84,2018,Chicago Bulls
742,44,38,0.537,—,103.4,102.9,0.15,2018,Miami Heat
743,43,39,0.524,1.0,106.6,106.0,0.53,2018,Washington Wizards
744,36,46,0.439,8.0,108.2,108.0,0.07,2018,Charlotte Hornets
745,25,57,0.305,19.0,103.4,108.2,-4.92,2018,Orlando Magic
746,24,58,0.293,20.0,103.4,108.8,-5.3,2018,Atlanta Hawks
747,49,33,0.598,—,105.6,103.0,2.6,2018,Portland Trail Blazers
748,48,34,0.585,1.0,107.9,104.4,3.42,2018,Oklahoma City Thunder
749,48,34,0.585,1.0,104.1,99.8,4.47,2018,Utah Jazz
750,47,35,0.573,2.0,109.5,107.3,2.35,2018,Minnesota Timberwolves
751,46,36,0.561,3.0,110.0,108.5,1.57,2018,Denver Nuggets
752,58,24,0.707,—,113.5,107.5,5.79,2018,Golden State Warriors
753,42,40,0.512,16.0,109.0,109.0,0.15,2018,Los Angeles Clippers
754,35,47,0.427,23.0,108.1,109.6,-1.44,2018,Los Angeles Lakers
755,27,55,0.329,31.0,98.8,105.8,-6.6,2018,Sacramento Kings
756,21,61,0.256,37.0,103.9,113.3,-8.8,2018,Phoenix Suns
757,65,17,0.793,—,112.4,103.9,8.21,2018,Houston Rockets
758,48,34,0.585,17.0,111.7,110.4,1.48,2018,New Orleans Pelicans
759,47,35,0.573,18.0,102.7,99.8,2.89,2018,San Antonio Spurs
760,24,58,0.293,41.0,102.3,105.4,-2.7,2018,Dallas Mavericks
761,22,60,0.268,43.0,99.3,105.5,-5.81,2018,Memphis Grizzlies
762,58,24,0.707,—,114.4,108.4,5.49,2019,Toronto Raptors
763,51,31,0.622,7.0,115.2,112.5,2.25,2019,Philadelphia 76ers
764,49,33,0.598,9.0,112.4,108.0,3.9,2019,Boston Celtics
765,42,40,0.512,16.0,112.2,112.3,-0.4,2019,Brooklyn Nets
766,17,65,0.207,41.0,104.6,113.8,-8.93,2019,New York Knicks
767,60,22,0.732,—,118.1,109.3,8.04,2019,Milwaukee Bucks
768,48,34,0.585,12.0,108.0,104.7,2.76,2019,Indiana Pacers
769,41,41,0.5,19.0,107.0,107.3,-0.56,2019,Detroit Pistons
770,22,60,0.268,38.0,104.9,113.4,-8.32,2019,Chicago Bulls
771,19,63,0.232,41.0,104.5,114.1,-9.39,2019,Cleveland Cavaliers
772,42,40,0.512,—,107.3,106.6,0.28,2019,Orlando Magic
773,39,43,0.476,3.0,110.7,111.8,-1.32,2019,Charlotte Hornets
774,39,43,0.476,3.0,105.7,105.9,-0.45,2019,Miami Heat
775,32,50,0.39,10.0,114.0,116.9,-3.3,2019,Washington Wizards
776,29,53,0.354,13.0,113.3,119.4,-6.06,2019,Atlanta Hawks
777,54,28,0.659,—,110.7,106.7,4.19,2019,Denver Nuggets
778,53,29,0.646,1.0,114.7,110.5,4.43,2019,Portland Trail Blazers
779,50,32,0.61,4.0,111.7,106.5,5.28,2019,Utah Jazz
780,49,33,0.598,5.0,114.5,111.1,3.56,2019,Oklahoma City Thunder
781,36,46,0.439,18.0,112.5,114.0,-1.02,2019,Minnesota Timberwolves
782,57,25,0.695,—,117.7,111.2,6.42,2019,Golden State Warriors
783,48,34,0.585,9.0,115.1,114.3,1.09,2019,Los Angeles Clippers
784,39,43,0.476,18.0,114.2,115.3,-0.81,2019,Sacramento Kings
785,37,45,0.451,20.0,111.8,113.5,-1.33,2019,Los Angeles Lakers
786,19,63,0.232,38.0,107.5,116.8,-8.61,2019,Phoenix Suns
787,53,29,0.646,—,113.9,109.1,4.96,2019,Houston Rockets
788,48,34,0.585,5.0,111.7,110.0,1.8,2019,San Antonio Spurs
789,33,49,0.402,20.0,103.5,106.1,-2.08,2019,Memphis Grizzlies
790,33,49,0.402,20.0,115.4,116.8,-1.1,2019,New Orleans Pelicans
791,33,49,0.402,20.0,108.9,110.1,-0.87,2019,Dallas Mavericks
792,53,19,0.736,—,112.8,106.5,5.97,2020,Toronto Raptors
793,48,24,0.667,5.0,113.7,107.3,5.83,2020,Boston Celtics
794,43,30,0.589,10.5,110.7,108.4,2.25,2020,Philadelphia 76ers
795,35,37,0.486,18.0,111.8,112.3,-1.01,2020,Brooklyn Nets
796,21,45,0.318,29.0,105.8,112.3,-6.72,2020,New York Knicks
797,56,17,0.767,—,118.7,108.6,9.41,2020,Milwaukee Bucks
798,45,28,0.616,11.0,109.4,107.5,1.63,2020,Indiana Pacers
799,22,43,0.338,30.0,106.8,109.9,-4.0,2020,Chicago Bulls
800,20,46,0.303,32.5,107.2,110.8,-4.38,2020,Detroit Pistons
801,19,46,0.292,33.0,106.9,114.8,-7.77,2020,Cleveland Cavaliers
802,44,29,0.603,—,112.0,109.1,2.59,2020,Miami Heat
803,33,40,0.452,11.0,107.3,108.3,-0.93,2020,Orlando Magic
804,23,42,0.354,17.0,102.9,109.6,-7.03,2020,Charlotte Hornets
805,25,47,0.347,18.5,114.4,119.1,-5.24,2020,Washington Wizards
806,20,47,0.299,21.0,111.8,119.7,-7.71,2020,Atlanta Hawks
807,46,27,0.63,—,111.3,109.2,2.35,2020,Denver Nuggets
808,44,28,0.611,1.5,110.4,108.4,2.33,2020,Oklahoma City Thunder
809,44,28,0.611,1.5,111.3,108.8,2.52,2020,Utah Jazz
810,35,39,0.473,11.5,115.0,116.1,-0.61,2020,Portland Trail Blazers
811,19,45,0.297,22.5,113.3,117.5,-4.02,2020,Minnesota Timberwolves
812,52,19,0.732,—,113.4,107.6,6.28,2020,Los Angeles Lakers
813,49,23,0.681,3.5,116.3,109.9,6.66,2020,Los Angeles Clippers
814,34,39,0.466,19.0,113.6,113.4,0.56,2020,Phoenix Suns
815,31,41,0.431,21.5,110.1,112.1,-1.59,2020,Sacramento Kings
816,15,50,0.231,34.0,106.3,115.0,-8.12,2020,Golden State Warriors
817,44,28,0.611,—,117.8,114.8,3.13,2020,Houston Rockets
818,43,32,0.573,2.5,117.0,112.1,4.87,2020,Dallas Mavericks
819,34,39,0.466,10.5,112.6,113.7,-0.91,2020,Memphis Grizzlies
820,32,39,0.451,11.5,114.1,115.2,-0.65,2020,San Antonio Spurs
821,30,42,0.417,14.0,115.8,117.1,-0.55,2020,New Orleans Pelicans
822,49,23,0.681,—,113.6,108.1,5.28,2021,Philadelphia 76ers
823,48,24,0.667,1.0,118.6,114.1,4.24,2021,Brooklyn Nets
824,41,31,0.569,8.0,107.0,104.7,2.13,2021,New York Knicks
825,36,36,0.5,13.0,112.6,111.2,1.32,2021,Boston Celtics
826,27,45,0.375,22.0,111.3,111.7,-0.54,2021,Toronto Raptors
827,46,26,0.639,—,120.1,114.2,5.57,2021,Milwaukee Bucks
828,34,38,0.472,12.0,115.3,115.3,-0.13,2021,Indiana Pacers
829,31,41,0.431,15.0,110.7,111.6,-0.94,2021,Chicago Bulls
830,22,50,0.306,24.0,103.8,112.3,-8.19,2021,Cleveland Cavaliers
831,20,52,0.278,26.0,106.6,111.1,-4.38,2021,Detroit Pistons
832,41,31,0.569,—,113.7,111.4,2.14,2021,Atlanta Hawks
833,40,32,0.556,1.0,108.1,108.0,-0.06,2021,Miami Heat
834,34,38,0.472,7.0,116.6,118.5,-1.85,2021,Washington Wizards
835,33,39,0.458,8.0,109.5,111.4,-1.94,2021,Charlotte Hornets
836,21,51,0.292,20.0,104.0,113.3,-9.02,2021,Orlando Magic
837,52,20,0.722,—,116.4,107.2,8.97,2021,Utah Jazz
838,47,25,0.653,5.0,115.1,110.1,4.82,2021,Denver Nuggets
839,42,30,0.583,10.0,116.1,114.3,1.81,2021,Portland Trail Blazers
840,23,49,0.319,29.0,112.1,117.7,-5.25,2021,Minnesota Timberwolves
841,22,50,0.306,30.0,105.0,115.6,-10.13,2021,Oklahoma City Thunder
842,51,21,0.708,—,115.3,109.5,5.67,2021,Phoenix Suns
843,47,25,0.653,4.0,114.0,107.8,6.02,2021,Los Angeles Clippers
844,42,30,0.583,9.0,109.5,106.8,2.77,2021,Los Angeles Lakers
845,39,33,0.542,12.0,113.7,112.7,1.1,2021,Golden State Warriors
846,31,41,0.431,20.0,113.7,117.4,-3.45,2021,Sacramento Kings
847,42,30,0.583,—,112.4,110.2,2.26,2021,Dallas Mavericks
848,38,34,0.528,4.0,113.3,112.3,1.07,2021,Memphis Grizzlies
849,33,39,0.458,9.0,111.1,112.8,-1.58,2021,San Antonio Spurs
850,31,41,0.431,11.0,114.6,114.9,-0.2,2021,New Orleans Pelicans
851,17,55,0.236,25.0,108.8,116.7,-7.5,2021,Houston Rockets
852,51,31,0.622,—,111.8,104.5,7.02,2022,Boston Celtics
853,51,31,0.622,—,109.9,107.3,2.57,2022,Philadelphia 76ers
854,48,34,0.585,3.0,109.4,107.1,2.38,2022,Toronto Raptors
855,44,38,0.537,7.0,112.9,112.1,0.82,2022,Brooklyn Nets
856,37,45,0.451,14.0,106.5,106.6,-0.01,2022,New York Knicks
857,51,31,0.622,—,115.5,112.1,3.22,2022,Milwaukee Bucks
858,46,36,0.561,5.0,111.6,112.0,-0.38,2022,Chicago Bulls
859,44,38,0.537,7.0,107.8,105.7,2.04,2022,Cleveland Cavaliers
860,25,57,0.305,26.0,111.5,114.9,-3.26,2022,Indiana Pacers
861,23,59,0.28,28.0,104.8,112.5,-7.36,2022,Detroit Pistons
862,53,29,0.646,—,110.0,105.6,4.23,2022,Miami Heat
863,43,39,0.524,10.0,113.9,112.4,1.55,2022,Atlanta Hawks
864,43,39,0.524,10.0,115.3,114.9,0.53,2022,Charlotte Hornets
865,35,47,0.427,18.0,108.6,112.0,-3.23,2022,Washington Wizards
866,22,60,0.268,31.0,104.2,112.2,-7.67,2022,Orlando Magic
867,49,33,0.598,—,113.6,107.6,5.67,2022,Utah Jazz
868,48,34,0.585,1.0,112.7,110.4,2.16,2022,Denver Nuggets
869,46,36,0.561,3.0,115.9,113.3,2.53,2022,Minnesota Timberwolves
870,27,55,0.329,22.0,106.2,115.1,-8.55,2022,Portland Trail Blazers
871,24,58,0.293,25.0,103.7,111.8,-7.9,2022,Oklahoma City Thunder
872,64,18,0.78,—,114.8,107.3,6.94,2022,Phoenix Suns
873,53,29,0.646,11.0,111.0,105.5,5.52,2022,Golden State Warriors
874,42,40,0.512,22.0,108.4,108.4,0.09,2022,Los Angeles Clippers
875,33,49,0.402,31.0,112.1,115.1,-3.08,2022,Los Angeles Lakers
876,30,52,0.366,34.0,110.3,115.8,-5.26,2022,Sacramento Kings
877,56,26,0.683,—,115.6,109.9,5.37,2022,Memphis Grizzlies
878,52,30,0.634,4.0,108.0,104.7,3.12,2022,Dallas Mavericks
879,36,46,0.439,20.0,109.3,110.3,-0.84,2022,New Orleans Pelicans
880,34,48,0.415,22.0,113.2,113.0,0.02,2022,San Antonio Spurs
881,20,62,0.244,36.0,109.7,118.2,-8.26,2022,Houston Rockets
882,57,25,0.695,—,117.9,111.4,6.38,2023,Boston Celtics
883,54,28,0.659,3.0,115.2,110.9,4.37,2023,Philadelphia 76ers
884,47,35,0.573,10.0,116.0,113.1,2.99,2023,New York Knicks
885,45,37,0.549,12.0,113.4,112.5,1.03,2023,Brooklyn Nets
886,41,41,0.5,16.0,112.9,111.4,1.59,2023,Toronto Raptors
887,58,24,0.707,—,116.9,113.3,3.61,2023,Milwaukee Bucks
888,51,31,0.622,7.0,112.3,106.9,5.23,2023,Cleveland Cavaliers
889,40,42,0.488,18.0,113.1,111.8,1.37,2023,Chicago Bulls
890,35,47,0.427,23.0,116.3,119.5,-2.91,2023,Indiana Pacers
891,17,65,0.207,41.0,110.3,118.5,-7.73,2023,Detroit Pistons
892,44,38,0.537,—,109.5,109.8,-0.13,2023,Miami Heat
893,41,41,0.5,3.0,118.4,118.1,0.32,2023,Atlanta Hawks
894,35,47,0.427,9.0,113.2,114.4,-1.06,2023,Washington Wizards
895,34,48,0.415,10.0,111.4,114.0,-2.39,2023,Orlando Magic
896,27,55,0.329,17.0,111.0,117.2,-5.89,2023,Charlotte Hornets
897,53,29,0.646,—,115.8,112.5,3.04,2023,Denver Nuggets
898,42,40,0.512,11.0,115.8,115.8,-0.22,2023,Minnesota Timberwolves
899,40,42,0.488,13.0,117.5,116.4,0.96,2023,Oklahoma City Thunder
900,37,45,0.451,16.0,117.1,118.0,-1.03,2023,Utah Jazz
901,33,49,0.402,20.0,113.4,117.4,-3.96,2023,Portland Trail Blazers
902,48,34,0.585,—,120.7,118.1,2.3,2023,Sacramento Kings
903,45,37,0.549,3.0,113.6,111.6,2.08,2023,Phoenix Suns
904,44,38,0.537,4.0,113.6,113.1,0.31,2023,Los Angeles Clippers
905,44,38,0.537,4.0,118.9,117.1,1.66,2023,Golden State Warriors
906,43,39,0.524,5.0,117.2,116.6,0.43,2023,Los Angeles Lakers
907,51,31,0.622,—,116.9,113.0,3.6,2023,Memphis Grizzlies
908,42,40,0.512,9.0,114.4,112.5,1.63,2023,New Orleans Pelicans
909,38,44,0.463,13.0,114.2,114.1,-0.14,2023,Dallas Mavericks
910,22,60,0.268,29.0,110.7,118.6,-7.62,2023,Houston Rockets
911,22,60,0.268,29.0,113.0,123.1,-9.82,2023,San Antonio Spurs
