,Player,Share,predictions,Rk,Predicted_Rk,Diff
1369,Jason Kidd,0.712,0.024669048088662604,2,66,-64
5443,Steve Nash,0.839,0.03633769052676683,1,43,-42
8884,Peja StojakoviÄ‡,0.228,0.034964880102048956,4,40,-36
13146,Joakim Noah,0.258,0.04614651157776803,4,38,-34
3857,Chauncey Billups,0.344,0.050896340820478336,5,36,-31
5461,Steve Nash,0.739,0.05732507772043571,1,32,-31
1534,Chris Paul,0.138,0.07166645581086983,5,33,-28
5267,Jason Kidd,0.135,0.04700138287845246,5,23,-18
5476,Steve Nash,0.785,0.08003396956559039,2,18,-16
1302,Gary Payton,0.372,0.07236354448045734,3,16,-13
